Name,Email,Phone,Age,City,Total Orders,Total Spent,Last Order Date,Tags
"Riya Deshmukh","riya.deshmukh238@example.com","9581155129",21,"Delhi",10,9630,"2026-04-25","churn-risk, loyal"
"Priya Kumar","priya.kumar239@example.com","9238481344",32,"Jaipur",14,28882,"2026-05-29","deal-hunter"
"Arjun Kumar","arjun.kumar240@example.com","9442221696",30,"Jaipur",0,0,"2026-03-22","inactive, frequent"
"Siddharth Rao","siddharth.rao241@example.com","9633233165",38,"Surat",47,79148,"2026-03-02","electronics"
"Sai Kumar","sai.kumar242@example.com","9708796825",21,"Ahmedabad",2,4224,"2026-04-25","loyal"
"Rohan Reddy","rohan.reddy243@example.com","9288498146",26,"Mumbai",49,59731,"2026-05-02","grocery, vip"
"Sai Kumar","sai.kumar244@example.com","9460039288",34,"Chennai",19,47082,"2026-02-15","churn-risk"
"Isha Singh","isha.singh245@example.com","9674689826",23,"Hyderabad",11,22363,"2026-05-31","apparel, frequent"
"Diya Rao","diya.rao246@example.com","9284469118",45,"Pune",46,77188,"2026-06-06","apparel, loyal, inactive"
"Meera Joshi","meera.joshi247@example.com","9507432628",44,"Chandigarh",25,52900,"2026-03-11","young"
"Aarav Patel","aarav.patel248@example.com","9378589390",28,"Chandigarh",49,78841,"2026-03-06","churn-risk"
"Lalit Verma","lalit.verma249@example.com","9382973253",21,"Kolkata",1,2089,"2026-03-16","vip, grocery"
"Neha Bhat","neha.bhat250@example.com","9865656799",47,"Ahmedabad",11,25036,"2026-04-08","churn-risk"
"Kabir Kapoor","kabir.kapoor251@example.com","9539839454",36,"Delhi",17,32691,"2026-05-17","loyal"
"Neha Singh","neha.singh252@example.com","9666209756",50,"Jaipur",19,35853,"2026-03-21","deal-hunter"
"Deepika Singh","deepika.singh253@example.com","9258347599",34,"Hyderabad",5,4630,"2026-03-25","vip, young, grocery"
"Arjun Reddy","arjun.reddy254@example.com","9251115380",44,"Bangalore",27,65475,"2026-05-07","young, apparel"
"Aditya Kumar","aditya.kumar255@example.com","9711633938",50,"Chandigarh",19,14421,"2026-04-19","young, vip"
"Deepika Deshmukh","deepika.deshmukh256@example.com","9325711576",29,"Mumbai",25,55050,"2026-05-01","vip"
"Riya Sharma","riya.sharma257@example.com","9433195043",24,"Chennai",17,17323,"2026-02-25","vip, frequent"
"Sneha Singh","sneha.singh258@example.com","9695230799",43,"Delhi",1,1520,"2026-05-25","grocery"
"Deepika Sharma","deepika.sharma259@example.com","9239404574",33,"Kolkata",45,76860,"2026-03-17","loyal"
"Sai Gupta","sai.gupta260@example.com","9221969085",28,"Jaipur",18,11952,"2026-04-02","inactive"
"Vihaan Reddy","vihaan.reddy261@example.com","9100121063",44,"Chennai",15,28200,"2026-04-11","young, grocery"
"Kabir Singh","kabir.singh262@example.com","9269582888",38,"Surat",17,22644,"2026-05-18","apparel, inactive"
"Priya Kumar","priya.kumar263@example.com","9851843822",49,"Hyderabad",8,8912,"2026-03-04","deal-hunter, apparel, churn-risk"
"Shreya Bhat","shreya.bhat264@example.com","9305633492",52,"Surat",22,16962,"2026-03-02","inactive, vip"
"Kabir Sharma","kabir.sharma265@example.com","9345908901",55,"Bangalore",31,48577,"2026-03-02","apparel, inactive"
"Diya Singh","diya.singh266@example.com","9259333668",57,"Delhi",29,71775,"2026-05-23","churn-risk"
"Tanvi Reddy","tanvi.reddy267@example.com","9557160425",40,"Bangalore",8,6856,"2026-03-05","apparel, loyal"
"Riya Singh","riya.singh268@example.com","9823853009",56,"Ahmedabad",31,63953,"2026-04-18","loyal, frequent, apparel"
"Sneha Kumar","sneha.kumar269@example.com","9708901075",23,"Chandigarh",13,29601,"2026-05-24","loyal, grocery"
"Rohan Singh","rohan.singh270@example.com","9581888849",27,"Kolkata",14,9142,"2026-06-14","inactive"
"Meera Singh","meera.singh271@example.com","9170949026",28,"Jaipur",14,13538,"2026-05-26","vip"
"Siddharth Gupta","siddharth.gupta272@example.com","9431483412",22,"Kolkata",37,59348,"2026-02-21","vip"
"Lalit Reddy","lalit.reddy273@example.com","9369824426",43,"Kolkata",17,10523,"2026-05-25","grocery, deal-hunter, churn-risk"
"Priya Desai","priya.desai274@example.com","9584284706",48,"Hyderabad",25,16900,"2026-03-04","frequent"
"Priya Patel","priya.patel275@example.com","9523379808",57,"Bangalore",21,31794,"2026-06-08","electronics"
"Siddharth Desai","siddharth.desai276@example.com","9354878694",42,"Hyderabad",32,61440,"2026-03-05","loyal, apparel, vip"
"Riya Menon","riya.menon277@example.com","9215799159",22,"Jaipur",15,33690,"2026-05-13","frequent"
"Sai Bhat","sai.bhat278@example.com","9296501829",46,"Surat",43,96062,"2026-05-10","deal-hunter"
"Ananya Kapoor","ananya.kapoor279@example.com","9772630221",35,"Chandigarh",33,38313,"2026-02-21","vip, loyal, frequent"
"Shreya Desai","shreya.desai280@example.com","9653539372",23,"Chandigarh",30,48480,"2026-05-14","young, inactive"
"Siddharth Joshi","siddharth.joshi281@example.com","9148577049",24,"Pune",39,91650,"2026-02-28","inactive"
"Lalit Singh","lalit.singh282@example.com","9737090018",25,"Hyderabad",7,12047,"2026-03-15","apparel"
"Priya Patel","priya.patel283@example.com","9984918836",39,"Chennai",30,27420,"2026-03-09","young, apparel"
"Tanvi Reddy","tanvi.reddy284@example.com","9316103073",56,"Hyderabad",29,41702,"2026-06-04","inactive, churn-risk"
"Neha Sharma","neha.sharma285@example.com","9864326086",40,"Pune",26,40716,"2026-03-08","electronics"
"Shreya Bhat","shreya.bhat286@example.com","9317487564",24,"Chennai",37,51023,"2026-02-25","grocery"
"Meera Verma","meera.verma287@example.com","9942058286",57,"Delhi",46,74060,"2026-06-07","frequent"
"Neha Kumar","neha.kumar288@example.com","9686635394",45,"Jaipur",36,67248,"2026-04-28","grocery"
"Tanvi Menon","tanvi.menon289@example.com","9939725392",55,"Jaipur",22,25718,"2026-05-12","loyal, apparel"
"Priya Desai","priya.desai290@example.com","9116280798",46,"Hyderabad",27,30132,"2026-05-13","deal-hunter"
"Isha Bhat","isha.bhat291@example.com","9250844694",28,"Ahmedabad",8,13192,"2026-05-01","apparel, vip, churn-risk"
"Siddharth Singh","siddharth.singh292@example.com","9637116023",43,"Chennai",0,0,"2026-04-04","electronics, apparel"
"Tanvi Sharma","tanvi.sharma293@example.com","9120555366",38,"Chennai",44,75856,"2026-02-17","inactive, deal-hunter, frequent"
"Aditya Kapoor","aditya.kapoor294@example.com","9660106019",50,"Pune",32,56704,"2026-03-26","apparel, frequent"
"Aarav Desai","aarav.desai295@example.com","9176077825",47,"Pune",33,60060,"2026-04-05","electronics"
"Meera Singh","meera.singh296@example.com","9486383450",25,"Hyderabad",40,32880,"2026-05-16","inactive"
"Lalit Patel","lalit.patel297@example.com","9893398410",52,"Kolkata",23,26381,"2026-04-09","vip, electronics, apparel"
"Priya Verma","priya.verma298@example.com","9460037061",34,"Kolkata",11,9812,"2026-03-17","churn-risk"
"Ananya Reddy","ananya.reddy299@example.com","9136880494",57,"Delhi",26,22438,"2026-02-27","young, grocery"
"Riya Kumar","riya.kumar300@example.com","9397557918",28,"Mumbai",19,19057,"2026-06-09","grocery, inactive, loyal"
"Siddharth Deshmukh","siddharth.deshmukh301@example.com","9416705886",39,"Hyderabad",24,27288,"2026-03-04","electronics, churn-risk"
"Priya Bhat","priya.bhat302@example.com","9805151104",46,"Surat",20,13060,"2026-05-07","churn-risk, loyal"
"Sai Gupta","sai.gupta303@example.com","9327035822",48,"Jaipur",37,83731,"2026-04-11","inactive, frequent, vip"
"Ananya Joshi","ananya.joshi304@example.com","9182158939",41,"Chandigarh",18,15426,"2026-05-16","inactive, churn-risk, apparel"
"Meera Gupta","meera.gupta305@example.com","9931443621",51,"Ahmedabad",33,42009,"2026-03-16","apparel, frequent"
"Lalit Desai","lalit.desai306@example.com","9455702338",31,"Chennai",1,1222,"2026-02-26","churn-risk, deal-hunter"
"Deepika Verma","deepika.verma307@example.com","9299558136",46,"Chandigarh",3,6012,"2026-05-23","apparel, churn-risk"
"Arjun Menon","arjun.menon308@example.com","9873140324",45,"Bangalore",25,39825,"2026-05-27","apparel, churn-risk, frequent"
"Isha Gupta","isha.gupta309@example.com","9781424262",37,"Jaipur",3,4929,"2026-03-09","loyal, grocery"
"Sneha Kumar","sneha.kumar310@example.com","9578316232",22,"Delhi",34,27642,"2026-05-20","deal-hunter"
"Rohan Menon","rohan.menon311@example.com","9866447383",25,"Ahmedabad",48,87456,"2026-03-04","loyal"
"Meera Menon","meera.menon312@example.com","9444087079",20,"Ahmedabad",7,15743,"2026-06-09","churn-risk, frequent, vip"
"Aarav Kapoor","aarav.kapoor313@example.com","9270327733",54,"Surat",37,75702,"2026-03-27","grocery, deal-hunter, churn-risk"
"Meera Patel","meera.patel314@example.com","9530014966",36,"Jaipur",24,24528,"2026-06-07","churn-risk, inactive"
"Ananya Reddy","ananya.reddy315@example.com","9816298062",21,"Bangalore",24,30912,"2026-02-18","deal-hunter, grocery"
"Tanvi Gupta","tanvi.gupta316@example.com","9253836764",23,"Bangalore",27,21897,"2026-04-09","apparel, young"
"Ananya Desai","ananya.desai317@example.com","9450820342",54,"Chandigarh",48,97200,"2026-04-04","inactive, electronics"
"Tanvi Desai","tanvi.desai318@example.com","9790826281",28,"Kolkata",16,8864,"2026-03-01","grocery, inactive, frequent"
"Deepika Deshmukh","deepika.deshmukh319@example.com","9733044418",29,"Surat",25,23175,"2026-05-29","electronics, churn-risk"
"Sai Desai","sai.desai320@example.com","9786892212",56,"Chennai",0,0,"2026-04-17","electronics, deal-hunter"
"Arjun Verma","arjun.verma321@example.com","9454904234",33,"Bangalore",3,4194,"2026-04-19","electronics, inactive"
"Vihaan Singh","vihaan.singh322@example.com","9106598145",37,"Bangalore",36,27216,"2026-02-19","inactive, frequent"
"Priya Sharma","priya.sharma323@example.com","9321850719",54,"Bangalore",32,69344,"2026-04-18","apparel, inactive"
"Lalit Deshmukh","lalit.deshmukh324@example.com","9387085786",32,"Jaipur",6,14622,"2026-05-13","loyal, electronics"
"Ananya Kapoor","ananya.kapoor325@example.com","9614106120",28,"Jaipur",49,111181,"2026-02-21","grocery"
"Aditya Deshmukh","aditya.deshmukh326@example.com","9121762799",26,"Bangalore",20,25920,"2026-04-02","frequent, loyal, grocery"
"Shreya Kumar","shreya.kumar327@example.com","9208915490",24,"Bangalore",42,53130,"2026-04-03","apparel, frequent"
"Siddharth Kumar","siddharth.kumar328@example.com","9457932318",18,"Mumbai",30,19380,"2026-04-13","loyal, young"
"Siddharth Kumar","siddharth.kumar329@example.com","9982508838",52,"Bangalore",5,9875,"2026-02-15","frequent, inactive, deal-hunter"
"Priya Verma","priya.verma330@example.com","9642429713",45,"Surat",6,8454,"2026-03-08","loyal, electronics, inactive"
"Tanvi Deshmukh","tanvi.deshmukh331@example.com","9164085606",28,"Mumbai",19,12559,"2026-03-04","electronics, loyal"
"Aarav Menon","aarav.menon332@example.com","9501425571",26,"Chennai",3,6024,"2026-02-28","apparel, loyal, grocery"
"Lalit Bhat","lalit.bhat333@example.com","9204356822",18,"Jaipur",25,24900,"2026-06-05","electronics"
"Lalit Kapoor","lalit.kapoor334@example.com","9913156787",53,"Pune",37,79439,"2026-02-28","churn-risk, young"
"Sneha Reddy","sneha.reddy335@example.com","9369553527",21,"Ahmedabad",37,72594,"2026-05-29","electronics"
"Priya Kumar","priya.kumar336@example.com","9881784788",45,"Kolkata",46,113666,"2026-03-24","grocery, deal-hunter"
"Lalit Kapoor","lalit.kapoor337@example.com","9739540427",52,"Jaipur",47,28012,"2026-04-02","inactive, deal-hunter"
"Aarav Verma","aarav.verma338@example.com","9509810112",30,"Chandigarh",28,65492,"2026-05-25","deal-hunter"
"Priya Singh","priya.singh339@example.com","9710231230",51,"Kolkata",4,2060,"2026-04-25","vip, inactive"
"Kabir Kapoor","kabir.kapoor340@example.com","9172221106",31,"Hyderabad",8,15936,"2026-04-17","grocery"
"Diya Joshi","diya.joshi341@example.com","9340269875",33,"Ahmedabad",48,68112,"2026-04-17","electronics"
"Sneha Desai","sneha.desai342@example.com","9911728898",33,"Mumbai",0,0,"2026-02-17","grocery"
"Siddharth Bhat","siddharth.bhat343@example.com","9587833852",34,"Jaipur",7,6496,"2026-03-19","vip, young, loyal"
"Deepika Sharma","deepika.sharma344@example.com","9583126718",36,"Jaipur",9,12762,"2026-04-01","grocery, apparel, deal-hunter"
"Sai Patel","sai.patel345@example.com","9454160200",56,"Chennai",1,1194,"2026-04-12","frequent, inactive"
"Vihaan Kumar","vihaan.kumar346@example.com","9307358576",25,"Jaipur",33,53031,"2026-03-02","vip"
"Siddharth Desai","siddharth.desai347@example.com","9859200035",23,"Kolkata",9,6642,"2026-05-12","vip, electronics"
"Sneha Reddy","sneha.reddy348@example.com","9646982363",52,"Bangalore",12,15036,"2026-05-11","young, grocery, deal-hunter"
"Meera Menon","meera.menon349@example.com","9863295605",31,"Chandigarh",36,26676,"2026-03-28","grocery"
"Siddharth Singh","siddharth.singh350@example.com","9227529207",56,"Mumbai",22,29546,"2026-03-07","inactive"
"Diya Gupta","diya.gupta351@example.com","9858786094",57,"Mumbai",11,19756,"2026-02-20","apparel, young, vip"
"Priya Kumar","priya.kumar352@example.com","9887442629",23,"Hyderabad",40,57800,"2026-04-21","loyal"
"Deepika Reddy","deepika.reddy353@example.com","9319388254",46,"Bangalore",22,26356,"2026-03-20","frequent"
"Aditya Menon","aditya.menon354@example.com","9625622452",26,"Jaipur",42,25116,"2026-04-23","young"
"Aarav Singh","aarav.singh355@example.com","9893866240",46,"Pune",42,97146,"2026-04-15","inactive"
"Meera Bhat","meera.bhat356@example.com","9752387891",56,"Chennai",37,37555,"2026-03-23","vip"
"Riya Verma","riya.verma357@example.com","9174666470",18,"Kolkata",20,12460,"2026-04-13","grocery"
"Aditya Deshmukh","aditya.deshmukh358@example.com","9814791112",25,"Pune",48,86448,"2026-05-07","young, deal-hunter"
"Isha Bhat","isha.bhat359@example.com","9482899410",54,"Chennai",25,37900,"2026-05-05","young, deal-hunter, apparel"
"Priya Bhat","priya.bhat360@example.com","9621676987",28,"Surat",1,848,"2026-05-09","loyal, frequent, deal-hunter"
"Shreya Gupta","shreya.gupta361@example.com","9664131648",38,"Mumbai",26,52052,"2026-04-05","churn-risk, inactive"
"Deepika Reddy","deepika.reddy362@example.com","9356453166",25,"Mumbai",47,112048,"2026-05-14","electronics, young"
"Deepika Joshi","deepika.joshi363@example.com","9258853768",54,"Bangalore",4,3196,"2026-03-20","vip"
"Rohan Singh","rohan.singh364@example.com","9350837969",26,"Kolkata",9,12177,"2026-02-18","electronics, loyal"
"Isha Reddy","isha.reddy365@example.com","9237622090",48,"Mumbai",34,38250,"2026-05-05","apparel, churn-risk"
"Aditya Kumar","aditya.kumar366@example.com","9344382858",22,"Bangalore",17,12223,"2026-03-27","inactive"
"Aditya Kapoor","aditya.kapoor367@example.com","9877133977",45,"Hyderabad",47,97243,"2026-04-24","young, vip"
"Sai Gupta","sai.gupta368@example.com","9921146761",40,"Chandigarh",46,114494,"2026-03-20","churn-risk, apparel"
"Riya Singh","riya.singh369@example.com","9888877732",36,"Delhi",3,5262,"2026-05-03","frequent, deal-hunter, churn-risk"
"Siddharth Rao","siddharth.rao370@example.com","9888638883",41,"Pune",20,37180,"2026-03-11","loyal, young"
"Aditya Sharma","aditya.sharma371@example.com","9204757341",44,"Chennai",36,38772,"2026-05-27","frequent"
"Ananya Kapoor","ananya.kapoor372@example.com","9979061101",54,"Chandigarh",10,22160,"2026-04-17","electronics, young"
"Meera Joshi","meera.joshi373@example.com","9530543292",34,"Delhi",18,19044,"2026-02-15","churn-risk, apparel, young"
"Ananya Bhat","ananya.bhat374@example.com","9556882141",54,"Bangalore",9,7569,"2026-02-28","churn-risk, apparel"
"Tanvi Verma","tanvi.verma375@example.com","9487028046",47,"Jaipur",14,22988,"2026-03-25","apparel"
"Kabir Singh","kabir.singh376@example.com","9304106037",22,"Ahmedabad",24,23832,"2026-06-10","loyal, electronics"
"Lalit Patel","lalit.patel377@example.com","9690634806",19,"Chandigarh",31,23963,"2026-06-03","electronics, churn-risk, deal-hunter"
"Riya Deshmukh","riya.deshmukh378@example.com","9915118032",35,"Delhi",5,6665,"2026-04-21","vip, inactive, frequent"
"Deepika Kumar","deepika.kumar379@example.com","9891446186",33,"Ahmedabad",17,42007,"2026-04-19","inactive, young"
"Tanvi Sharma","tanvi.sharma380@example.com","9274595801",23,"Chennai",49,29302,"2026-03-03","frequent, electronics"
"Arjun Singh","arjun.singh381@example.com","9500754692",40,"Delhi",43,104791,"2026-05-14","apparel"
"Ananya Bhat","ananya.bhat382@example.com","9896260240",19,"Ahmedabad",41,83435,"2026-04-28","churn-risk"
"Vihaan Menon","vihaan.menon383@example.com","9168866249",42,"Bangalore",15,25305,"2026-03-21","apparel, young"
"Vihaan Kumar","vihaan.kumar384@example.com","9469836209",30,"Hyderabad",36,80460,"2026-04-05","apparel"
"Shreya Gupta","shreya.gupta385@example.com","9603782059",43,"Kolkata",15,37170,"2026-03-27","electronics, grocery"
"Isha Patel","isha.patel386@example.com","9776771793",48,"Chandigarh",10,12440,"2026-02-19","young"
"Kabir Reddy","kabir.reddy387@example.com","9790549942",36,"Chennai",35,44030,"2026-02-25","vip"
"Priya Joshi","priya.joshi388@example.com","9509346986",22,"Hyderabad",35,42070,"2026-03-25","apparel"
"Aarav Menon","aarav.menon389@example.com","9996873942",36,"Chandigarh",2,1136,"2026-05-11","grocery, churn-risk"
"Kabir Gupta","kabir.gupta390@example.com","9170363795",48,"Ahmedabad",21,39081,"2026-02-17","grocery, deal-hunter, loyal"
"Arjun Joshi","arjun.joshi391@example.com","9703238811",34,"Ahmedabad",31,48484,"2026-03-10","deal-hunter, apparel, churn-risk"
"Riya Deshmukh","riya.deshmukh392@example.com","9493655071",41,"Chandigarh",16,17536,"2026-04-26","young, grocery, vip"
"Meera Gupta","meera.gupta393@example.com","9829449926",57,"Hyderabad",33,23166,"2026-05-28","grocery"
"Ananya Joshi","ananya.joshi394@example.com","9986387053",38,"Hyderabad",5,7520,"2026-03-13","loyal"
"Lalit Gupta","lalit.gupta395@example.com","9805815608",34,"Chennai",25,58550,"2026-05-09","grocery, electronics, churn-risk"
"Rohan Verma","rohan.verma396@example.com","9888388218",42,"Ahmedabad",4,3016,"2026-04-11","young, inactive, deal-hunter"
"Deepika Reddy","deepika.reddy397@example.com","9515643690",39,"Pune",10,21930,"2026-06-02","churn-risk"
"Arjun Patel","arjun.patel398@example.com","9189966445",29,"Ahmedabad",5,3680,"2026-04-21","electronics, grocery"
"Arjun Gupta","arjun.gupta399@example.com","9647756644",26,"Chandigarh",9,11412,"2026-06-05","apparel, deal-hunter, grocery"
"Isha Sharma","isha.sharma400@example.com","9890063918",23,"Hyderabad",11,10241,"2026-03-16","churn-risk, grocery, vip"
"Isha Singh","isha.singh401@example.com","9421188938",22,"Pune",1,661,"2026-03-22","frequent"
"Tanvi Joshi","tanvi.joshi402@example.com","9241248954",29,"Bangalore",44,93368,"2026-02-19","deal-hunter"
"Arjun Patel","arjun.patel403@example.com","9908846408",45,"Chandigarh",3,2835,"2026-02-24","loyal, vip, inactive"
"Tanvi Joshi","tanvi.joshi404@example.com","9375775190",25,"Hyderabad",44,80740,"2026-04-18","vip, churn-risk"
"Meera Menon","meera.menon405@example.com","9686405011",27,"Jaipur",43,31433,"2026-03-23","deal-hunter"
"Ananya Deshmukh","ananya.deshmukh406@example.com","9874979162",37,"Pune",34,68578,"2026-04-02","churn-risk"
"Deepika Patel","deepika.patel407@example.com","9401203136",45,"Mumbai",2,3882,"2026-06-01","deal-hunter, grocery"
"Riya Kumar","riya.kumar408@example.com","9353687926",53,"Surat",45,98730,"2026-05-23","deal-hunter, electronics"
"Meera Verma","meera.verma409@example.com","9761816542",50,"Delhi",44,24376,"2026-05-02","churn-risk"
"Lalit Kapoor","lalit.kapoor410@example.com","9689387835",39,"Mumbai",36,68040,"2026-06-10","inactive"
"Riya Singh","riya.singh411@example.com","9860059945",34,"Pune",3,3237,"2026-03-13","loyal, frequent, deal-hunter"
"Rohan Gupta","rohan.gupta412@example.com","9683193529",46,"Mumbai",33,38412,"2026-06-02","frequent"
"Tanvi Singh","tanvi.singh413@example.com","9477108580",49,"Hyderabad",22,44902,"2026-04-24","frequent"
"Ananya Desai","ananya.desai414@example.com","9632225304",22,"Jaipur",30,36510,"2026-06-12","inactive, frequent, deal-hunter"
"Sneha Joshi","sneha.joshi415@example.com","9762166468",39,"Chandigarh",21,24234,"2026-04-16","grocery, inactive, deal-hunter"
"Kabir Joshi","kabir.joshi416@example.com","9309608296",28,"Chandigarh",45,66960,"2026-02-27","young, deal-hunter"
"Meera Kumar","meera.kumar417@example.com","9911982705",22,"Chandigarh",39,22191,"2026-05-21","grocery, loyal"
"Siddharth Menon","siddharth.menon418@example.com","9399537507",42,"Bangalore",38,52440,"2026-04-13","apparel, frequent"
"Ananya Singh","ananya.singh419@example.com","9379206383",41,"Chandigarh",17,15300,"2026-05-07","inactive"
"Ananya Deshmukh","ananya.deshmukh420@example.com","9118288340",22,"Pune",4,6980,"2026-04-24","grocery, vip"
"Neha Patel","neha.patel421@example.com","9961755396",56,"Chandigarh",11,10329,"2026-05-27","grocery"
"Sneha Kumar","sneha.kumar422@example.com","9359376554",38,"Ahmedabad",48,95568,"2026-03-13","vip"
"Shreya Sharma","shreya.sharma423@example.com","9380810931",33,"Chandigarh",21,25557,"2026-05-25","deal-hunter, electronics"
"Vihaan Desai","vihaan.desai424@example.com","9586028076",47,"Hyderabad",32,29472,"2026-05-16","young, vip, electronics"
"Sai Reddy","sai.reddy425@example.com","9337368311",31,"Kolkata",22,45342,"2026-06-03","inactive, churn-risk"
"Aditya Rao","aditya.rao426@example.com","9527667476",27,"Chennai",30,74430,"2026-04-12","apparel"
"Ananya Bhat","ananya.bhat427@example.com","9739327591",19,"Surat",15,19740,"2026-05-14","electronics, frequent"
"Aditya Patel","aditya.patel428@example.com","9962415705",27,"Kolkata",4,6260,"2026-04-26","churn-risk"
"Ananya Singh","ananya.singh429@example.com","9629649242",47,"Hyderabad",3,6243,"2026-03-05","loyal, apparel, inactive"
"Sai Reddy","sai.reddy430@example.com","9867166668",53,"Pune",36,84384,"2026-04-27","deal-hunter"
"Aarav Reddy","aarav.reddy431@example.com","9643502866",18,"Jaipur",30,16800,"2026-02-24","frequent"
"Isha Sharma","isha.sharma432@example.com","9491558308",29,"Pune",2,1446,"2026-03-04","inactive, churn-risk"
"Isha Verma","isha.verma433@example.com","9287517826",52,"Bangalore",25,50325,"2026-02-25","frequent, inactive"
"Sai Deshmukh","sai.deshmukh434@example.com","9331071399",18,"Hyderabad",32,29024,"2026-05-26","churn-risk, inactive"
"Riya Rao","riya.rao435@example.com","9580300769",50,"Bangalore",39,73476,"2026-06-05","vip"
"Rohan Singh","rohan.singh436@example.com","9484515262",44,"Chennai",47,39104,"2026-06-13","deal-hunter, inactive"
"Diya Desai","diya.desai437@example.com","9523123043",20,"Chandigarh",1,1083,"2026-05-17","churn-risk"
"Arjun Reddy","arjun.reddy438@example.com","9392211766",35,"Chandigarh",1,1230,"2026-05-06","frequent, inactive"
"Ananya Deshmukh","ananya.deshmukh439@example.com","9586703252",43,"Delhi",12,12888,"2026-06-03","deal-hunter"
"Aarav Verma","aarav.verma440@example.com","9584144823",47,"Ahmedabad",28,24248,"2026-04-29","deal-hunter, churn-risk"
"Aarav Kumar","aarav.kumar441@example.com","9216238680",45,"Hyderabad",29,71369,"2026-05-16","frequent"
"Sai Desai","sai.desai442@example.com","9771894773",41,"Chandigarh",2,4722,"2026-05-04","frequent, loyal"
"Sai Deshmukh","sai.deshmukh443@example.com","9277326837",49,"Bangalore",26,23270,"2026-04-06","young, loyal, vip"
"Meera Reddy","meera.reddy444@example.com","9623844158",56,"Chandigarh",37,90317,"2026-03-17","apparel, electronics"
"Aditya Joshi","aditya.joshi445@example.com","9704819059",48,"Ahmedabad",21,21273,"2026-02-19","apparel, churn-risk, frequent"
"Shreya Desai","shreya.desai446@example.com","9940036381",56,"Chennai",21,48510,"2026-04-07","young"
"Tanvi Singh","tanvi.singh447@example.com","9344246627",41,"Pune",13,23816,"2026-03-16","frequent, young"
"Kabir Sharma","kabir.sharma448@example.com","9332318045",38,"Hyderabad",5,11025,"2026-03-23","loyal"
"Arjun Kapoor","arjun.kapoor449@example.com","9838250040",20,"Pune",26,26364,"2026-03-20","vip, loyal"
"Meera Bhat","meera.bhat450@example.com","9202725532",41,"Chandigarh",15,10185,"2026-03-11","churn-risk, young, inactive"
"Aditya Joshi","aditya.joshi451@example.com","9440687738",48,"Jaipur",2,4924,"2026-05-20","deal-hunter"
"Diya Patel","diya.patel452@example.com","9187586296",29,"Hyderabad",34,77350,"2026-05-05","loyal, vip"
"Vihaan Reddy","vihaan.reddy453@example.com","9223023305",44,"Mumbai",39,26364,"2026-05-16","young, grocery"
"Diya Patel","diya.patel454@example.com","9394140401",45,"Surat",15,23715,"2026-05-31","grocery, deal-hunter"
"Siddharth Joshi","siddharth.joshi455@example.com","9635510475",37,"Surat",25,49925,"2026-03-29","frequent, inactive"
"Rohan Rao","rohan.rao456@example.com","9294472589",30,"Kolkata",12,21696,"2026-03-30","young, loyal"
"Riya Patel","riya.patel457@example.com","9379207973",48,"Mumbai",14,22708,"2026-04-10","deal-hunter"
"Neha Kumar","neha.kumar458@example.com","9529427328",37,"Surat",31,16988,"2026-05-16","vip"
"Neha Kapoor","neha.kapoor459@example.com","9792806820",50,"Chandigarh",14,32368,"2026-02-23","young"
"Neha Kumar","neha.kumar460@example.com","9253736888",35,"Delhi",39,65871,"2026-05-06","electronics"
"Arjun Desai","arjun.desai461@example.com","9457033644",53,"Mumbai",6,8724,"2026-06-10","apparel, frequent, vip"
"Meera Patel","meera.patel462@example.com","9618581750",32,"Jaipur",33,65010,"2026-02-15","grocery"
"Kabir Sharma","kabir.sharma463@example.com","9728728237",53,"Chandigarh",31,32085,"2026-02-24","young, electronics"
"Tanvi Patel","tanvi.patel464@example.com","9870311350",19,"Hyderabad",44,83424,"2026-04-02","inactive, deal-hunter, young"
"Priya Gupta","priya.gupta465@example.com","9210023030",57,"Jaipur",23,40549,"2026-06-01","deal-hunter, frequent, apparel"
"Isha Gupta","isha.gupta466@example.com","9846353844",36,"Surat",49,61544,"2026-02-21","deal-hunter"
"Aditya Verma","aditya.verma467@example.com","9799333184",29,"Chandigarh",43,88064,"2026-03-23","churn-risk, electronics, young"
"Vihaan Gupta","vihaan.gupta468@example.com","9360137694",41,"Hyderabad",40,46680,"2026-03-24","deal-hunter"
"Sneha Bhat","sneha.bhat469@example.com","9819346875",54,"Chandigarh",37,45769,"2026-06-01","inactive, young"
"Priya Bhat","priya.bhat470@example.com","9772015216",50,"Ahmedabad",32,69536,"2026-02-17","young, inactive"
"Sai Gupta","sai.gupta471@example.com","9873345412",53,"Hyderabad",47,86527,"2026-06-01","loyal, grocery, vip"
"Neha Deshmukh","neha.deshmukh472@example.com","9788006944",43,"Ahmedabad",10,23290,"2026-02-20","loyal"
"Isha Kapoor","isha.kapoor473@example.com","9525888362",22,"Ahmedabad",8,16280,"2026-04-17","vip"
"Aarav Kapoor","aarav.kapoor474@example.com","9904176941",26,"Pune",49,111230,"2026-05-12","grocery"
"Aarav Deshmukh","aarav.deshmukh475@example.com","9515375221",50,"Hyderabad",39,36036,"2026-03-18","young, electronics, loyal"
"Diya Menon","diya.menon476@example.com","9330243586",52,"Chennai",41,99712,"2026-05-12","grocery, frequent"
"Riya Bhat","riya.bhat477@example.com","9787888415",26,"Mumbai",33,78309,"2026-03-19","young"
"Aditya Verma","aditya.verma478@example.com","9186451071",35,"Surat",20,45720,"2026-02-28","apparel"
